ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
16080,Royaume-Uni,en,3,0,0,0,0,0,0,F
16081,Espagne,es,3,0,0,0,0,0,0,F
16082,Etats-Unis,en,3,0,0,0,0,0,0,M
16083,Etats-Unis,en,3,21,0,0,0,0,0,F
16084,Allemagne,de,3,0,0,0,0,0,0,F
16085,Etats-Unis,en,3,0,0,0,0,0,0,F
16086,Hong Kong,en,3,0,0,0,0,0,0,F
16087,Etats-Unis,en,3,0,0,0,0,0,0,F
16088,Etats-Unis,en,3,0,0,0,0,0,0,F
16089,Etats-Unis,en,3,0,0,0,0,0,0,M
16090,Etats-Unis,en,3,0,0,0,0,1,1,F
16091,Etats-Unis,en,3,0,0,0,0,0,0,M
16092,Royaume-Uni,en,3,0,0,0,0,0,0,F
16093,Canada,en,3,0,0,0,0,0,0,F
16094,Royaume-Uni,en,3,0,0,0,0,0,0,M
16095,Etats-Unis,en,3,0,0,0,0,0,0,F
16096,Etats-Unis,en,3,0,0,0,0,0,0,M
16097,Etats-Unis,en,3,0,0,0,0,0,0,F
16098,Etats-Unis,en,3,0,0,0,0,0,0,M
16099,Etats-Unis,en,3,0,0,0,0,0,0,F
16100,Etats-Unis,en,3,0,0,0,0,0,0,F
16101,Etats-Unis,en,3,0,0,0,0,0,0,F
16102,France,fr,3,0,0,0,0,0,0,F
16103,Espagne,es,3,1,0,0,0,0,0,F
16104,Canada,en,3,0,0,0,0,0,0,F
16105,Panama,es,3,0,0,0,0,0,0,F
16106,Etats-Unis,en,3,0,0,0,0,0,0,F
16107,Suisse,fr,3,0,0,0,0,0,0,F
16108,Australie,en,3,0,2,0,0,0,0,F
16109,Canada,en,3,0,0,0,0,0,0,M
16110,Royaume-Uni,en,3,0,0,0,0,0,0,M
16111,Australie,en,3,0,0,0,0,0,0,F
16112,Etats-Unis,en,3,0,0,0,0,0,0,F
16113,Italie,it,3,0,0,0,0,0,0,F
16114,Italie,it,3,0,0,0,0,0,0,F
16115,Sri Lanka,en,3,0,0,0,0,0,0,F
16116,France,fr,3,0,0,0,0,0,0,F
16117,Australie,en,3,0,0,0,0,0,0,F
16118,Singapour,en,3,4,0,0,0,0,0,M
16119,Royaume-Uni,en,3,0,0,0,0,0,0,F
16120,Etats-Unis,en,3,1,0,0,0,0,0,F
16121,Etats-Unis,en,3,0,0,0,0,0,0,F
16122,Canada,en,3,0,0,0,0,0,0,F
16123,Espagne,es,3,0,0,0,0,0,0,F
16124,Australie,en,3,46,0,0,0,3,0,F
16125,Etats-Unis,en,3,0,0,0,0,0,0,M
16126,Roumanie,en,3,0,0,0,0,0,0,F
16127,Etats-Unis,en,3,0,0,0,0,0,0,F
16128,Etats-Unis,en,3,12,0,0,0,0,0,F
16129,Australie,en,3,0,0,0,0,0,0,F
16130,Etats-Unis,en,3,0,0,0,0,0,0,M
16131,Etats-Unis,en,3,0,0,0,0,0,0,M
16132,France,fr,3,0,0,0,0,0,0,M
16133,Etats-Unis,en,3,0,0,0,0,0,0,M
16134,Hong Kong,en,3,0,0,0,0,0,0,M
16135,Etats-Unis,en,3,0,0,0,0,0,0,F
16136,Etats-Unis,en,3,0,0,0,0,0,0,F
16137,Etats-Unis,en,3,2,0,0,0,1,0,F
16138,Etats-Unis,en,3,0,0,0,0,0,0,F
16139,Etats-Unis,en,3,0,0,0,0,0,0,F
16140,Australie,en,3,0,0,0,0,0,0,F
16141,Etats-Unis,en,3,0,0,0,0,0,0,F
16142,Canada,en,3,0,0,0,0,0,0,M
16143,Etats-Unis,en,3,0,0,0,0,0,0,M
16144,France,fr,3,0,0,0,0,0,0,F
16145,Pays-Bas,en,3,0,0,0,0,0,0,F
16146,Etats-Unis,en,3,0,0,0,0,0,0,F
16147,Canada,en,3,0,0,0,0,0,0,F
16148,Etats-Unis,en,3,0,0,0,0,0,0,F
16149,Australie,en,3,0,0,0,0,0,0,F
16150,Irlande,en,3,0,0,0,0,0,0,F
16151,Canada,en,3,0,0,0,0,0,0,M
16152,Canada,en,3,0,0,0,0,0,0,F
16153,France,fr,3,0,0,0,0,0,0,F
16154,Etats-Unis,en,3,0,0,0,0,0,0,F
16155,Etats-Unis,en,3,0,0,0,0,0,0,F
16156,Etats-Unis,en,3,0,0,0,0,0,0,F
16157,France,fr,3,0,0,0,0,0,0,F
16158,Guyane,fr,3,0,0,0,0,0,0,F
16159,Italie,en,3,0,0,0,0,0,0,F
16160,Etats-Unis,en,3,0,0,0,0,0,0,F
16161,Canada,en,3,1,0,0,0,0,0,F
16162,Etats-Unis,en,3,0,0,0,0,0,0,F
16163,France,fr,3,0,0,0,0,0,0,F
16164,Etats-Unis,en,3,0,0,0,0,0,0,F
16165,Royaume-Uni,en,3,1,0,0,0,4,0,M
16166,Etats-Unis,en,3,0,0,0,0,0,0,F
16167,Allemagne,de,3,1,0,0,0,11,0,F
16168,Etats-Unis,en,3,0,0,0,0,0,0,F
16169,Singapour,en,3,0,0,0,0,0,0,F
16170,Canada,en,3,8,0,0,0,1,0,F
16171,France,en,3,0,0,0,0,0,0,M
16172,Italie,it,3,4,0,0,0,7,0,F
16173,France,en,3,0,0,0,0,0,0,F
16174,Canada,en,3,0,0,0,0,0,0,M
16175,Canada,en,3,0,0,0,0,0,0,F
16176,Etats-Unis,en,3,0,0,0,0,0,0,F
16177,Etats-Unis,en,3,12,0,0,0,5,0,F
16178,Canada,en,3,0,0,0,0,0,0,F
16179,Canada,en,3,0,0,0,0,0,0,M
16180,Etats-Unis,en,3,0,0,0,0,0,0,F
16181,Canada,en,3,0,0,0,0,0,0,F
16182,Etats-Unis,en,3,2,0,0,0,0,0,F
16183,Hong Kong,en,3,0,0,0,0,1,0,F
16184,Chine,en,3,0,0,0,0,0,0,F
16185,Allemagne,en,3,0,0,0,0,0,0,F
16186,Canada,en,3,2,0,0,0,0,0,F
16187,Hong Kong,en,3,0,0,0,0,0,0,F
16188,Etats-Unis,en,3,0,0,0,0,0,0,F
16189,Australie,en,3,0,0,0,0,0,0,F
16190,Royaume-Uni,en,3,0,0,0,0,0,0,M
16191,France,fr,3,0,0,0,0,0,0,F
16192,Etats-Unis,en,3,0,0,0,0,0,0,F
16193,Etats-Unis,en,3,0,0,0,0,0,0,F
16194,France,fr,3,1,0,0,0,0,0,F
16195,Etats-Unis,en,3,0,0,0,0,0,0,F
16196,Hong Kong,en,3,0,0,0,0,2,0,F
16197,Etats-Unis,en,3,0,0,0,0,0,0,F
16198,Royaume-Uni,en,3,0,0,0,0,0,0,F
16199,France,fr,3,0,0,0,0,0,0,F
16200,Etats-Unis,en,3,0,0,0,0,0,0,F
16201,Etats-Unis,en,3,0,0,0,0,0,0,F
16202,Chine,en,3,0,0,0,0,0,0,F
16203,Bolivie,es,3,0,0,0,0,0,0,F
16204,Royaume-Uni,en,3,0,0,0,0,0,0,M
16205,Maroc,fr,3,0,0,0,0,0,0,F
16206,Australie,en,3,0,0,0,0,0,0,F
16207,Etats-Unis,en,3,0,0,0,0,0,0,F
16208,Etats-Unis,en,3,1,0,0,0,0,0,F
16209,Australie,en,3,0,0,0,0,0,0,F
16210,Etats-Unis,en,3,0,0,0,0,0,0,F
16211,Martinique,fr,3,0,0,0,0,0,0,F
16212,Etats-Unis,en,3,0,0,0,0,0,0,F
16213,Hong Kong,en,3,0,0,0,0,0,0,F
16214,Etats-Unis,en,3,0,0,0,0,0,0,M
16215,France,fr,3,0,0,0,0,0,0,M
16216,Allemagne,de,3,1,0,0,0,0,0,M
16217,Canada,en,3,0,0,0,0,0,0,F
16218,France,fr,3,0,0,0,0,0,0,F
16219,Etats-Unis,es,3,0,0,0,0,0,0,M
16220,Su??de,en,3,0,0,0,0,0,0,M
16221,Etats-Unis,en,3,0,0,0,0,0,0,M
16222,Canada,en,3,0,0,0,0,0,0,F
16223,Etats-Unis,en,3,0,0,0,0,0,0,F
16224,Etats-Unis,en,3,0,0,0,0,6,0,F
16225,Canada,en,3,1,0,0,0,0,0,F
16226,Canada,en,3,0,0,0,0,0,0,F
16227,Etats-Unis,en,3,1,0,0,0,0,0,F
16228,Etats-Unis,en,3,1,0,0,0,0,0,F
16229,Etats-Unis,en,3,0,0,0,0,0,0,F
16230,Royaume-Uni,en,3,0,0,0,0,0,0,F
16231,Etats-Unis,en,3,0,0,0,0,0,0,F
16232,Etats-Unis,en,3,0,0,0,0,0,0,M
16233,Hong Kong,en,3,0,0,0,0,0,0,M
16234,Etats-Unis,en,3,0,0,0,0,0,0,M
16235,Malaisie,en,3,0,0,0,0,0,0,M
16236,Etats-Unis,en,3,0,0,0,0,0,0,F
16237,Etats-Unis,en,3,0,0,0,0,0,0,F
16238,Etats-Unis,en,3,0,0,0,0,0,0,F
16239,Canada,en,3,0,0,0,0,0,0,F
16240,Etats-Unis,en,3,0,0,0,0,0,0,F
16241,Canada,en,3,0,0,0,0,0,0,F
16242,Maroc,fr,3,0,0,0,0,0,0,F
16243,Br??sil,en,3,0,0,0,0,0,0,F
16244,Etats-Unis,en,3,11,0,0,0,0,0,F
16245,Canada,en,3,0,0,0,0,0,0,F
16246,Etats-Unis,en,3,0,0,0,0,0,0,F
16247,Chine,en,3,20,0,0,0,0,0,F
16248,Etats-Unis,en,3,0,0,0,0,0,0,F
16249,Etats-Unis,en,3,0,0,0,0,0,0,F
16250,Etats-Unis,en,3,0,0,0,0,0,0,F
16251,Canada,en,3,0,0,0,0,0,0,F
16252,Etats-Unis,en,3,0,0,0,0,0,0,M
16253,Allemagne,de,3,0,0,0,0,0,0,F
16254,Etats-Unis,en,3,0,0,0,0,0,0,F
16255,Australie,en,3,0,0,0,0,0,0,F
16256,Hong Kong,en,3,0,0,0,0,0,0,F
16257,Argentine,es,3,0,0,0,0,0,0,F
16258,Etats-Unis,en,3,0,0,0,0,0,0,F
16259,Japon,en,3,0,0,0,0,0,0,M
16260,Etats-Unis,en,3,0,0,0,0,0,0,F
16261,Canada,en,3,0,0,0,0,0,0,M
16262,Etats-Unis,en,3,0,0,0,0,0,0,F
16263,Royaume-Uni,en,3,0,0,0,0,0,0,M
16264,Malaisie,en,3,0,0,0,0,0,0,F
16265,Etats-Unis,en,3,4,0,0,0,3,0,F
16266,Etats-Unis,en,3,3,0,0,0,0,0,F
16267,Royaume-Uni,en,3,0,0,0,0,0,0,F
16268,France,fr,3,5,0,0,0,0,0,M
16269,Australie,en,3,0,0,0,0,0,0,M
16270,Etats-Unis,en,3,0,0,0,0,0,0,F
16271,France,en,3,0,0,0,0,0,0,M
16272,France,en,3,0,0,0,0,0,0,F
16273,Etats-Unis,en,3,0,0,0,0,0,0,F
16274,Canada,fr,3,0,0,0,0,0,0,F
16275,Etats-Unis,en,3,0,0,0,0,0,0,F
16276,Portugal,fr,3,0,0,0,0,0,0,M
16277,Etats-Unis,en,3,0,0,0,0,0,0,F
16278,Etats-Unis,en,3,0,0,0,0,0,0,F
16279,Etats-Unis,en,3,0,0,0,0,0,0,F
16280,Etats-Unis,en,3,0,0,0,0,0,0,F
16281,Etats-Unis,en,3,0,0,0,0,0,0,M
16282,Etats-Unis,en,3,0,0,0,0,0,0,F
16283,Etats-Unis,en,3,0,0,0,0,0,0,F
16284,Etats-Unis,en,3,0,0,0,0,0,0,F
16285,Japon,en,3,0,0,0,0,0,0,F
16286,Canada,en,3,0,0,0,0,0,0,F
16287,France,fr,3,0,0,0,0,0,0,F
16288,Etats-Unis,en,3,0,0,0,0,0,0,F
16289,Etats-Unis,en,3,0,0,0,0,0,0,F
16290,Etats-Unis,en,3,0,0,0,0,0,0,F
16291,France,fr,3,0,0,0,0,0,0,F
16292,Etats-Unis,en,3,0,0,0,0,0,0,F
16293,France,fr,3,0,0,0,0,0,0,F
16294,Royaume-Uni,en,3,0,0,0,0,0,0,M
16295,Etats-Unis,en,3,0,0,0,0,0,0,F
16296,Royaume-Uni,en,3,1,0,0,0,0,0,F
16297,France,fr,3,0,0,0,0,0,0,M
16298,Etats-Unis,en,3,0,0,0,0,0,0,M
16299,Turquie,en,3,63,0,0,0,0,0,F
16300,France,fr,3,1,0,0,0,0,0,F
16301,Etats-Unis,en,3,0,0,0,0,0,0,F
16302,Canada,en,3,10,0,0,0,0,0,F
16303,Etats-Unis,en,3,0,0,0,0,0,0,F
16304,Inde,en,3,0,0,0,0,0,0,M
16305,Etats-Unis,en,3,0,0,0,0,0,0,M
16306,Etats-Unis,en,3,0,0,0,0,0,0,M
16307,Etats-Unis,en,3,2,0,0,0,0,0,M
16308,France,fr,3,0,0,0,0,0,0,M
16309,Etats-Unis,en,3,0,0,0,0,0,0,M
16310,Etats-Unis,en,3,0,0,0,0,0,0,F
16311,Royaume-Uni,en,3,2,0,0,0,0,0,F
16312,Etats-Unis,en,3,0,0,0,0,0,0,F
16313,Etats-Unis,en,3,8,0,0,0,0,1,F
16314,Etats-Unis,en,3,0,0,0,0,0,0,F
16315,Hong Kong,en,3,0,0,0,0,0,0,F
16316,Cote D'Ivoire,fr,3,0,0,0,0,0,0,F
16317,Etats-Unis,en,3,0,0,0,0,0,0,F
16318,Etats-Unis,es,3,0,0,0,0,0,0,M
16319,Etats-Unis,en,3,0,0,0,0,0,0,M
16320,Canada,en,3,0,0,0,0,0,0,F
16321,Etats-Unis,en,3,0,0,0,0,0,0,F
16322,Etats-Unis,en,3,0,0,0,0,0,0,F
16323,Etats-Unis,de,3,0,0,0,0,0,0,F
16324,France,fr,3,0,0,0,0,0,0,M
16325,Etats-Unis,en,3,0,0,0,0,0,0,M
16326,Etats-Unis,en,3,0,0,0,0,0,0,F
16327,Etats-Unis,en,3,0,0,0,0,0,0,F
16328,Etats-Unis,en,3,0,0,0,0,0,0,F
16329,Inde,en,3,0,0,0,0,0,0,M
16330,France,fr,3,0,0,0,0,0,0,F
16331,Etats-Unis,en,3,0,0,0,0,0,0,F
16332,Etats-Unis,en,3,0,0,0,0,0,0,M
16333,Royaume-Uni,en,3,0,0,0,0,0,0,F
16334,Etats-Unis,en,3,1,0,0,0,0,0,F
16335,Italie,it,3,4,0,0,0,4,0,F
16336,Singapour,en,3,0,0,0,0,0,0,M
16337,Chine,en,3,0,0,0,0,0,0,F
16338,Etats-Unis,en,3,0,0,0,0,0,0,F
16339,Hong Kong,en,3,0,0,0,0,0,0,F
16340,Hong Kong,en,3,8,0,0,0,1,0,M
16341,Etats-Unis,en,3,1,0,0,0,0,0,F
16342,Etats-Unis,en,3,0,0,0,0,0,0,F
16343,Etats-Unis,en,3,0,0,0,0,0,0,F
16344,France,fr,3,0,0,0,0,0,0,M
16345,Russie,en,3,3,0,0,0,0,0,F
16346,Canada,en,3,0,0,0,0,0,0,F
16347,Etats-Unis,en,3,0,0,0,0,0,0,F
16348,Etats-Unis,en,3,0,0,0,0,0,0,F
16349,Etats-Unis,en,3,0,0,0,0,0,0,F
16350,Etats-Unis,en,3,0,0,0,0,0,0,F
16351,Etats-Unis,en,3,0,0,0,0,0,0,M
16352,Etats-Unis,en,3,0,0,0,0,0,0,F
16353,Etats-Unis,en,3,14,0,0,0,12,0,F
16354,Canada,en,3,0,0,0,0,0,0,F
16355,Nigeria,en,3,1,0,0,0,0,0,M
16356,Etats-Unis,en,3,10,0,0,0,0,0,F
16357,Canada,en,3,0,0,0,0,0,0,F
16358,Etats-Unis,en,3,1,0,0,0,0,0,F
16359,Taiwan,en,3,1,0,0,0,0,0,F
16360,Etats-Unis,en,3,0,0,0,0,0,0,F
16361,Etats-Unis,en,3,0,0,0,0,0,0,F
16362,Etats-Unis,en,3,1,0,0,0,0,0,M
16363,Etats-Unis,en,3,0,0,0,0,0,0,F
16364,Australie,en,3,1,0,0,0,67,0,F
16365,Etats-Unis,en,3,0,0,0,0,0,0,M
16366,Etats-Unis,en,3,0,0,0,0,0,0,F
16367,Australie,en,3,0,0,0,0,0,0,F
16368,Chine,en,3,13,0,0,0,1,0,F
16369,France,en,3,0,0,0,0,0,0,F
16370,France,en,3,0,0,0,0,0,0,M
16371,Etats-Unis,en,3,0,0,0,0,0,0,F
16372,Etats-Unis,en,3,0,0,0,0,0,0,F
16373,Australie,en,3,0,0,0,0,0,0,F
16374,Espagne,en,3,13,0,0,0,9,0,F
16375,Etats-Unis,en,3,0,0,0,0,0,0,F
16376,Etats-Unis,en,3,1,0,0,0,0,0,F
16377,Etats-Unis,en,3,9,0,0,0,0,0,F
16378,Etats-Unis,en,3,0,0,0,0,0,0,F
16379,Hong Kong,en,3,0,0,0,0,0,0,F
16380,Etats-Unis,en,3,0,0,0,0,0,0,F
16381,Australie,en,3,0,0,0,0,0,0,F
16382,Etats-Unis,en,3,3,0,0,0,2,0,F
16383,Etats-Unis,en,3,1,0,0,0,5,0,F
16384,Canada,en,3,0,0,0,0,0,0,F
16385,P??rou,es,3,0,0,0,0,0,0,F
16386,Etats-Unis,en,3,0,0,0,0,0,0,F
16387,Etats-Unis,en,3,0,0,0,0,0,0,F
16388,Etats-Unis,en,3,0,0,0,0,0,0,F
16389,Etats-Unis,en,3,1,0,0,0,0,0,F
16390,Russie,en,3,0,0,0,0,0,0,F
16391,Etats-Unis,en,3,0,0,0,0,0,0,F
16392,Etats-Unis,en,3,0,0,0,0,0,0,F
16393,Etats-Unis,en,3,0,0,0,0,0,0,F
16394,Etats-Unis,en,3,0,0,0,0,0,0,F
16395,Etats-Unis,en,3,2,0,0,0,0,0,F
16396,Belgique,en,3,1,0,0,0,0,0,F
16397,Australie,en,3,0,0,0,0,0,0,F
16398,France,fr,3,0,0,0,0,0,0,M
16399,Thailande,en,3,0,0,0,0,0,0,F
16400,Etats-Unis,en,3,0,0,0,0,0,0,F
16401,Canada,en,3,0,0,0,0,0,0,F
16402,Etats-Unis,en,3,0,0,0,0,0,0,F
16403,Canada,en,3,1,0,0,0,0,0,F
16404,Etats-Unis,en,3,0,0,0,0,0,0,F
16405,France,fr,3,0,0,0,0,0,0,F
16406,Australie,en,3,0,0,0,0,1,0,F
16407,Etats-Unis,en,3,4,0,0,0,1,0,F
16408,Etats-Unis,en,3,0,0,0,0,1,0,F
16409,Nouvelle Z??lande,en,3,0,0,0,0,0,0,F
16410,Etats-Unis,en,3,0,0,0,0,0,0,F
16411,Italie,it,3,0,0,0,0,0,0,F
16412,Australie,en,3,14,0,0,0,0,0,M
16413,Etats-Unis,en,3,0,0,0,0,0,0,F
16414,Canada,en,3,1,0,0,0,0,0,F
16415,Italie,it,3,0,0,0,0,0,0,F
16416,Etats-Unis,en,3,1,0,0,0,3,2,F
16417,Etats-Unis,en,3,0,0,0,0,0,0,F
16418,France,fr,3,0,0,0,0,0,0,F
16419,Etats-Unis,en,3,0,0,0,0,0,0,F
16420,Canada,en,3,0,0,0,0,0,0,F
16421,Etats-Unis,en,3,0,0,0,0,0,0,F
16422,Etats-Unis,en,3,2,0,0,0,6,1,F
16423,Etats-Unis,en,3,0,0,0,0,0,0,F
16424,Etats-Unis,en,3,0,0,0,0,0,0,F
16425,Etats-Unis,en,3,0,0,0,0,0,0,F
16426,Allemagne,de,3,0,0,0,0,0,0,F
16427,Mexique,en,3,0,0,0,0,0,0,F
16428,Etats-Unis,en,3,0,0,0,0,0,0,M
16429,Etats-Unis,en,3,0,0,0,0,0,0,M
16430,Etats-Unis,en,3,6,0,0,0,2,0,F
16431,Etats-Unis,en,3,0,0,0,0,0,0,F
16432,Italie,it,3,0,0,0,0,0,0,F
16433,Royaume-Uni,en,3,0,0,0,0,0,0,F
16434,Australie,en,3,0,0,0,0,0,0,F
16435,Bulgarie,en,3,0,0,0,0,0,0,F
16436,Israel,en,3,0,0,0,0,0,0,F
16437,France,fr,3,0,0,0,0,0,0,M
16438,Etats-Unis,en,3,0,0,0,0,1,0,F
16439,Etats-Unis,en,3,0,0,0,0,0,0,F
16440,Belgique,en,3,0,0,0,0,0,0,M
16441,Etats-Unis,en,3,0,0,0,0,0,0,F
16442,Etats-Unis,en,3,0,0,0,0,0,0,F
16443,France,fr,3,0,0,0,0,0,0,M
16444,Australie,en,3,0,0,0,0,0,0,M
16445,France,fr,3,0,0,0,0,0,0,M
16446,Japon,en,3,0,0,0,0,0,0,F
16447,Etats-Unis,en,3,0,0,0,0,0,0,M
16448,Etats-Unis,en,3,0,0,0,0,0,0,F
16449,France,fr,3,1,0,0,0,0,1,F
16450,Etats-Unis,en,3,0,0,0,0,0,0,M
16451,Etats-Unis,en,3,0,0,0,0,0,0,F
16452,Etats-Unis,en,3,0,0,0,0,0,0,F
16453,Etats-Unis,en,3,0,0,0,0,0,0,F
16454,France,en,3,0,0,0,0,0,0,M
16455,Australie,en,3,0,0,0,0,0,0,F
16456,Hong Kong,en,3,0,0,0,0,0,0,F
16457,France,en,3,0,0,0,0,0,0,F
16458,Canada,fr,3,0,0,0,0,0,0,F
16459,Australie,en,3,0,0,0,0,0,0,M
16460,France,fr,3,0,0,0,0,0,0,F
16461,Malaisie,en,3,0,0,0,0,0,0,F
16462,Australie,en,3,0,0,0,0,1,0,M
16463,Allemagne,de,3,0,0,0,0,0,0,F
16464,Espagne,es,3,18,0,0,0,3,0,F
16465,Etats-Unis,en,3,0,0,0,0,0,0,F
16466,Etats-Unis,en,3,5,0,0,0,1,0,F
16467,France,fr,3,0,0,0,0,0,0,M
16468,Etats-Unis,en,3,0,0,0,0,0,0,M
16469,Australie,en,3,0,0,0,0,0,0,F
16470,Allemagne,de,3,0,0,0,0,0,0,F
16471,Etats-Unis,en,3,0,0,0,0,0,0,F
16472,France,fr,3,0,0,0,0,0,0,F
16473,Mexique,en,3,12,0,0,0,0,0,M
16474,Allemagne,de,3,0,0,0,0,0,0,F
16475,Etats-Unis,en,3,0,0,0,0,0,0,M
16476,Etats-Unis,en,3,1,0,0,0,0,0,F
16477,Etats-Unis,en,3,0,0,0,0,0,0,F
16478,Australie,en,3,0,0,0,0,0,0,F
16479,Etats-Unis,en,3,0,0,0,0,0,0,F
16480,Etats-Unis,en,3,0,0,0,0,0,0,F
16481,Espagne,es,3,0,0,0,0,0,0,F
16482,France,fr,3,0,0,0,0,0,0,F
16483,Etats-Unis,en,3,0,0,0,0,0,0,F
16484,Etats-Unis,en,3,0,0,0,0,0,0,F
16485,France,fr,3,0,0,0,0,0,0,F
16486,Italie,it,3,0,0,0,0,0,0,M
16487,Italie,it,3,0,0,0,0,0,0,F
16488,Finlande,en,3,1,0,0,0,0,0,F
16489,Etats-Unis,en,3,0,0,0,0,0,0,F
16490,Etats-Unis,en,3,0,0,0,0,0,0,F
16491,Etats-Unis,en,3,0,0,0,0,0,0,F
16492,Italie,it,3,0,0,0,0,0,0,F
16493,France,fr,3,1,0,0,0,0,0,F
16494,Italie,it,3,0,0,0,0,0,0,M
16495,Hong Kong,en,3,22,0,0,0,19,1,F
16496,Etats-Unis,en,3,0,0,0,0,0,0,F
16497,Royaume-Uni,en,3,0,0,0,0,0,0,F
16498,Etats-Unis,en,3,0,0,0,0,0,0,F
16499,Etats-Unis,en,3,0,0,0,0,0,0,F
16500,France,fr,3,0,0,0,0,0,0,F
16501,Australie,en,3,0,0,0,0,0,0,F
16502,Etats-Unis,en,3,0,0,0,0,0,0,M
16503,France,fr,3,0,0,0,0,0,0,F
16504,Indon??sie,en,3,2,0,0,0,0,0,F
16505,France,fr,3,0,0,0,0,0,0,F
16506,France,fr,3,0,0,0,0,0,0,M
16507,Hong Kong,en,3,0,0,0,0,0,0,F
16508,Royaume-Uni,en,3,0,0,0,0,0,0,F
16509,Etats-Unis,en,3,0,0,0,0,0,0,M
16510,Etats-Unis,en,3,1,0,0,0,0,0,F
16511,Pays-Bas,en,3,0,0,0,0,0,0,F
16512,Etats-Unis,en,3,4,0,0,0,0,0,F
16513,France,fr,3,0,0,0,0,0,0,F
16514,Croatie,en,3,0,0,0,0,0,0,F
16515,Russie,en,3,0,0,0,0,0,0,F
16516,Etats-Unis,en,3,0,0,0,0,0,0,F
16517,Allemagne,de,3,0,0,0,0,0,0,F
16518,Espagne,es,3,0,0,0,0,0,0,F
16519,Polyn??sie Fran??aise,fr,3,0,0,0,0,0,0,F
16520,Australie,en,3,0,0,0,0,0,0,F
16521,France,fr,3,0,0,0,0,0,0,M
16522,Autriche,de,3,0,0,0,0,0,0,F
16523,Etats-Unis,en,3,7,0,0,0,0,0,F
16524,Etats-Unis,en,3,0,0,0,0,0,0,F
16525,France,fr,3,1,0,0,0,0,0,F
16526,Autriche,de,3,0,0,0,0,0,0,F
16527,France,fr,3,0,0,0,0,0,0,F
16528,Etats-Unis,en,3,0,0,0,0,0,0,F
16529,Etats-Unis,en,3,0,0,0,0,0,0,F
16530,Etats-Unis,en,3,0,0,0,0,0,0,F
16531,France,fr,3,0,0,0,0,0,0,F
16532,Etats-Unis,en,3,0,0,0,0,0,0,F
16533,Italie,it,3,1,0,0,0,0,0,M
16534,France,fr,3,0,0,0,0,0,0,M
16535,Finlande,en,3,6,0,0,0,2,0,F
16536,France,fr,3,3,0,0,0,0,0,F
16537,Etats-Unis,fr,3,0,0,0,0,0,0,M
16538,Espagne,es,3,0,0,0,0,0,0,F
16539,Turquie,en,3,5,0,0,0,0,0,F
16540,Allemagne,en,3,0,0,0,0,0,0,F
16541,Italie,it,3,0,0,0,0,0,0,F
16542,France,fr,3,0,0,0,0,0,0,F
16543,France,fr,3,0,0,0,0,0,0,M
16544,Allemagne,de,3,0,0,0,0,0,0,F
16545,Royaume-Uni,en,3,0,0,0,0,0,0,F
16546,Espagne,es,3,0,0,0,0,0,0,F
16547,Malaisie,en,3,0,0,0,0,0,0,F
16548,Etats-Unis,en,3,0,0,0,0,0,0,M
16549,France,fr,3,0,0,0,0,0,0,F
16550,Danemark,en,3,63,0,0,0,6,0,F
16551,Etats-Unis,en,3,0,0,0,0,0,0,F
16552,France,fr,3,0,0,0,0,0,0,F
16553,Allemagne,de,3,0,0,0,0,0,0,F
16554,France,fr,3,0,0,0,0,0,0,F
16555,Italie,it,3,0,0,0,0,0,0,F
16556,France,fr,3,0,0,0,0,0,0,M
16557,Etats-Unis,en,3,0,0,0,0,0,0,F
16558,Philippines,en,3,0,0,0,0,0,0,M
16559,Etats-Unis,fr,3,0,0,0,0,0,0,M
16560,Ouganda,en,3,0,0,0,0,0,0,F
16561,Allemagne,de,3,0,0,0,0,0,0,F
16562,France,en,3,0,0,0,0,0,0,M
16563,France,en,3,0,0,0,0,0,0,F
16564,Etats-Unis,en,3,0,0,0,0,0,0,F
16565,Suisse,de,3,0,0,0,0,0,0,F
16566,Etats-Unis,en,3,0,0,0,0,3,0,M
16567,Etats-Unis,en,3,0,0,0,0,0,0,M
16568,Canada,en,3,0,0,0,0,0,0,F
16569,Etats-Unis,en,3,0,0,0,0,0,0,F
16570,Belgique,en,3,0,0,0,0,0,0,F
16571,France,fr,3,0,0,0,0,0,0,M
16572,Etats-Unis,en,3,2,0,0,0,0,0,F
16573,Etats-Unis,en,3,0,0,0,0,0,0,F
16574,Etats-Unis,en,3,0,0,0,0,0,0,F
16575,Mexique,en,3,0,0,0,0,0,0,F
16576,France,fr,3,0,0,0,0,0,0,F
16577,Allemagne,de,3,0,0,0,0,0,0,M
16578,Australie,en,3,0,0,0,0,0,0,F
16579,Etats-Unis,en,3,0,0,0,0,0,0,F
16580,Russie,en,3,0,0,0,0,0,0,F
16581,Royaume-Uni,en,3,0,0,0,0,0,0,F
16582,Italie,it,3,0,0,0,0,0,0,F
16583,Autriche,de,3,0,0,0,0,0,0,F
16584,Italie,it,3,0,0,0,0,0,0,F
16585,Espagne,es,3,0,0,0,0,0,0,F
16586,France,fr,3,0,0,0,0,0,0,F
16587,Etats-Unis,en,3,0,0,0,0,0,0,F
16588,Luxembourg,fr,3,0,0,0,0,0,0,F
16589,Etats-Unis,en,3,0,0,0,0,0,0,F
16590,France,fr,3,1,0,0,0,0,0,F
