ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
123,Autriche,de,17,81,20,20,100,80,9,F
124,France,fr,16,33,10,20,79,1,0,M
125,Royaume-Uni,en,14,65,20,20,90,117,3,F
126,Pays-Bas,en,8,29,25,20,92.8,0,1,F
127,Royaume-Uni,en,52,73,15,19,100,3,3,F
128,Italie,it,48,346,3,19,89,1075,54,F
129,Italie,it,44,105,4,19,94,7,1,F
130,Italie,it,32,1,4,19,100,0,0,F
131,Belgique,fr,19,0,1,19,50,0,0,F
132,Italie,it,17,6,17,19,100,1,0,F
133,France,fr,12,0,4,19,94,0,0,M
134,Italie,it,12,3,15,19,94,0,0,F
135,Pays-Bas,en,71,22,0,18,66,14,11,F
136,Italie,en,44,14,0,18,78,9,3,F
137,Italie,it,22,36,51,18,70,1,0,F
138,Su??de,en,18,1,4,18,100,0,0,F
139,Espagne,fr,18,52,0,18,100,4,48,F
140,France,fr,18,4,9,18,100,3,1,F
141,Italie,it,16,1,4,18,44,3,0,M
142,Royaume-Uni,en,11,14,5,18,83,19,0,M
143,Italie,it,4,0,18,18,84,0,0,F
144,Italie,it,41,69,12,17,58,0,0,F
145,Italie,it,40,28,18,17,66,3,2,F
146,Suisse,en,18,4,202,17,92.3,31,6,F
147,Espagne,es,15,0,23,17,88,0,0,F
148,France,fr,12,0,0,17,70,0,0,M
149,Italie,it,6,0,5,17,94,0,0,F
150,Italie,it,6,2,4,17,76,0,0,M
151,France,fr,23,10,6,16,100,1,0,F
152,France,fr,22,0,27,16,100,0,0,F
153,Italie,it,13,7,10,16,87,0,0,M
154,Italie,it,13,12,3,16,81,1,0,M
155,Australie,en,12,13,12,16,100,4,0,M
156,Espagne,es,12,0,8,16,87,0,0,F
157,Italie,it,10,21,18,16,100,1,0,M
158,Italie,it,8,2,12,16,100,0,0,M
159,France,fr,353,5595,5,15,66,875,0,F
160,Italie,it,44,1,0,15,31,0,0,M
161,France,fr,35,35,2,15,60,2,0,M
162,Royaume-Uni,en,20,7,1,15,43,0,0,F
163,France,fr,17,40,7,15,82,0,0,M
164,Allemagne,de,16,1,4,15,100,757,31,F
165,Su??de,en,10,0,3,15,93,0,1,F
166,France,en,9,5,21,15,93,0,0,F
167,Royaume-Uni,en,9,17,16,15,90,4,1,F
168,Etats-Unis,en,8,0,22,15,100,0,0,F
169,Italie,it,7,4,0,15,53,0,0,M
170,France,fr,6,21,2,15,100,0,1,F
171,Espagne,en,89,10,1,14,91.6,0,0,F
172,France,fr,40,0,1,14,78,0,0,F
173,Etats-Unis,en,33,9,1,14,85,5,0,M
174,Pays-Bas,en,27,699,8,14,64,2,28,M
175,Croatie,en,18,83,3,14,100,16,0,F
176,Etats-Unis,en,17,0,3,14,93,0,0,M
177,Su??de,en,16,0,7,14,92,0,0,F
178,Royaume-Uni,en,15,0,18,14,100,0,0,F
179,Royaume-Uni,en,14,7,5,14,100,0,5,F
180,Allemagne,de,12,1,1,14,92,0,0,F
181,France,fr,8,3,7,14,100,0,0,F
182,France,fr,7,1,0,14,92,0,1,M
